epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.325,0.9609,2.21316,1.16146,0.61177,0.6153,0.72207,0.44881,1.41229,1.91994,1.4517,0.00025005,0.00025005,0.00025005
2,568.873,1.19083,1.64932,1.25822,0.77761,0.80589,0.8281,0.46118,1.30526,1.76792,1.65112,0.00046561,0.00046561,0.00046561
3,868.729,1.29245,1.70326,1.33458,0.46467,0.27,0.03207,0.02162,3.06902,517.607,10.2134,0.000628359,0.000628359,0.000628359
4,1177.66,1.23081,1.40413,1.28925,0.01621,0.22,0.03117,0.02171,2.22948,33.2278,2.15788,0.000738298,0.000738298,0.000738298
5,1486.01,1.3139,1.40644,1.34869,0.45833,0.76853,0.4455,0.23418,1.667,16.2483,2.25004,0.000795426,0.000795426,0.000795426
6,1790.09,1.33963,1.37613,1.4199,0.44076,0.6,0.38841,0.18289,2.06093,684.744,7.67408,0.000799743,0.000799743,0.000799743
7,2146.56,1.25486,1.21377,1.3174,0.59479,0.84685,0.85706,0.54862,1.26615,3.98397,1.50168,0.000676802,0.000676802,0.000676802
8,2490.44,1.21274,1.09612,1.27581,0.82459,0.83701,0.86615,0.56619,1.23079,1.23866,1.45703,0.000511769,0.000511769,0.000511769
9,2763.87,1.16059,1.01918,1.26261,0.85714,0.95455,0.96194,0.72103,0.92066,0.82917,1.09519,0.000346736,0.000346736,0.000346736
10,3045.89,1.02191,0.8854,1.15318,0.98239,0.95869,0.96249,0.7352,0.84595,0.60271,1.0231,0.000181703,0.000181703,0.000181703
